time	x_field	y_or_z_field
0.0000	0.000000	0.000000
0.5517	0.000001	-0.000000
1.1034	0.000004	-0.000000
1.6551	0.000009	-0.000000
2.2068	0.000017	-0.000001
2.7585	0.000026	-0.000002
3.3102	0.000037	-0.000003
3.8620	0.000049	-0.000005
4.4137	0.000063	-0.000008
4.9654	0.000078	-0.000011
5.5171	0.000094	-0.000015
6.0688	0.000110	-0.000019
6.6205	0.000127	-0.000024
7.1722	0.000144	-0.000030
7.7239	0.000161	-0.000036
8.2756	0.000177	-0.000043
8.8273	0.000193	-0.000050
9.3790	0.000207	-0.000057
9.9307	0.000219	-0.000064
10.4825	0.000230	-0.000071
11.0342	0.000238	-0.000077
11.5859	0.000244	-0.000084
12.1376	0.000247	-0.000089
12.6893	0.000246	-0.000093
13.2410	0.000242	-0.000096
13.7927	0.000235	-0.000097
14.3444	0.000223	-0.000097
14.8961	0.000207	-0.000094
15.4478	0.000187	-0.000088
15.9995	0.000162	-0.000079
16.5512	0.000132	-0.000067
17.1030	0.000098	-0.000052
17.6547	0.000058	-0.000032
18.2064	0.000014	-0.000008
18.7581	-0.000035	0.000021
19.3098	-0.000089	0.000055
19.8615	-0.000148	0.000094
20.4132	-0.000211	0.000139
20.9649	-0.000279	0.000190
21.5166	-0.000351	0.000247
22.0683	-0.000427	0.000311
22.6200	-0.000507	0.000381
23.1717	-0.000590	0.000458
23.7235	-0.000676	0.000542
24.2752	-0.000765	0.000633
24.8269	-0.000855	0.000732
25.3786	-0.000948	0.000837
25.9303	-0.001042	0.000949
26.4820	-0.001136	0.001069
27.0337	-0.001231	0.001195
27.5854	-0.001325	0.001327
28.1371	-0.001419	0.001466
28.6888	-0.001510	0.001611
29.2405	-0.001600	0.001762
29.7922	-0.001687	0.001917
30.3440	-0.001771	0.002077
30.8957	-0.001851	0.002242
31.4474	-0.001927	0.002409
31.9991	-0.001997	0.002580
32.5508	-0.002063	0.002752
33.1025	-0.002122	0.002926
33.6542	-0.002175	0.003100
34.2059	-0.002220	0.003274
34.7576	-0.002259	0.003447
35.3093	-0.002290	0.003617
35.8610	-0.002313	0.003783
36.4127	-0.002328	0.003946
36.9645	-0.002334	0.004102
37.5162	-0.002332	0.004253
38.0679	-0.002321	0.004395
38.6196	-0.002301	0.004529
39.1713	-0.002273	0.004653
39.7230	-0.002236	0.004765
40.2747	-0.002190	0.004866
40.8264	-0.002136	0.004953
41.3781	-0.002075	0.005025
41.9298	-0.002005	0.005082
42.4815	-0.001929	0.005123
43.0332	-0.001845	0.005145
43.5850	-0.001756	0.005149
44.1367	-0.001661	0.005134
44.6884	-0.001561	0.005098
45.2401	-0.001457	0.005041
45.7918	-0.001350	0.004961
46.3435	-0.001241	0.004859
46.8952	-0.001130	0.004734
47.4469	-0.001018	0.004585
47.9986	-0.000907	0.004412
48.5503	-0.000798	0.004214
49.1020	-0.000691	0.003991
49.6537	-0.000587	0.003744
50.2055	-0.000489	0.003471
50.7572	-0.000396	0.003174
51.3089	-0.000311	0.002852
51.8606	-0.000233	0.002506
52.4123	-0.000165	0.002135
52.9640	-0.000107	0.001742
53.5157	-0.000061	0.001326
54.0674	-0.000027	0.000888
54.6191	-0.000006	0.000430
55.1708	-0.000000	-0.000049
55.7225	-0.000009	-0.000546
56.2742	-0.000035	-0.001060
56.8260	-0.000078	-0.001591
57.3777	-0.000138	-0.002136
57.9294	-0.000217	-0.002695
58.4811	-0.000314	-0.003264
59.0328	-0.000431	-0.003843
59.5845	-0.000567	-0.004430
60.1362	-0.000724	-0.005022
60.6879	-0.000900	-0.005619
61.2396	-0.001096	-0.006217
61.7913	-0.001312	-0.006814
62.3430	-0.001548	-0.007409
62.8947	-0.001803	-0.007999
63.4465	-0.002077	-0.008582
63.9982	-0.002369	-0.009156
64.5499	-0.002678	-0.009719
65.1016	-0.003004	-0.010267
65.6533	-0.003345	-0.010800
66.2050	-0.003700	-0.011314
66.7567	-0.004068	-0.011808
67.3084	-0.004448	-0.012280
67.8601	-0.004837	-0.012726
68.4118	-0.005235	-0.013147
68.9635	-0.005639	-0.013538
69.5152	-0.006048	-0.013900
70.0670	-0.006459	-0.014229
70.6187	-0.006870	-0.014524
71.1704	-0.007280	-0.014784
71.7221	-0.007686	-0.015008
72.2738	-0.008085	-0.015193
72.8255	-0.008475	-0.015340
73.3772	-0.008853	-0.015446
73.9289	-0.009218	-0.015512
74.4806	-0.009566	-0.015536
75.0323	-0.009895	-0.015519
75.5840	-0.010202	-0.015459
76.1357	-0.010485	-0.015357
76.6875	-0.010741	-0.015212
77.2392	-0.010968	-0.015026
77.7909	-0.011162	-0.014798
78.3426	-0.011322	-0.014529
78.8943	-0.011445	-0.014220
79.4460	-0.011528	-0.013871
